,State_ab,City,Zip_Code,Area_Code,Lat,Lon,Mean,Median,Stdev,Households,Mean-Binned,Median-Binned,MeanLow,MeanMedium,MeanHigh,MedianLow,MedianMedium,MedianHigh
0,AL,Wadley,36276,256,33.091627,-85.527029,-1.827231682195891,-1.308519870122877,10911.1105596114+0i,52,MeanLow,MedianLow,1,0,0,1,0,0
1,AL,Adamsville,35005,205,33.60575,-86.97465,-0.023038352257049966,-0.38447889822388975,101255.628258487+0i,1704,MeanMedium,MedianMedium,0,1,0,0,1,0
2,AL,Akron,35541,205,32.879495,-87.741679,-1.5876773136768736,-1.2005588410451449,24839.9829145421+0i,126,MeanLow,MedianLow,1,0,0,1,0,0
3,AL,Albertville,35950,256,34.26313,-86.21066,0.07222312492839698,-0.390397296224696,113147.596969836+0i,7307,MeanMedium,MedianMedium,0,1,0,0,1,0
4,AL,Alexandria,36250,256,33.760819,-85.872008,-0.08209347683162349,-0.29692142191784454,92828.3528811165+0i,1464,MeanMedium,MedianMedium,0,1,0,0,1,0
5,AL,Oneonta,35121,205,33.907623,-86.516109,-0.4173753090344419,-0.5460287831492583,68954.9676827159+0i,245,MeanMedium,MedianLow,0,1,0,1,0,0
6,AL,Walnut Grove,35990,205,34.039204,-86.305697,-0.9943590269535434,-0.8842726890608821,39522.5864474801+0i,323,MeanLow,MedianLow,1,0,0,1,0,0
7,AL,Anderson,35610,256,34.915675,-87.274274,-0.4854177268421085,-0.5209253260828134,78423.6274343179+0i,115,MeanMedium,MedianLow,0,1,0,1,0,0
8,AL,Arab,35016,256,34.332387,-86.50116700000001,-0.8104415280342209,2.2807398451811984,49341.996372404+0i,25,MeanLow,MedianHigh,1,0,0,0,0,1
9,AL,Ardmore,35739,256,34.987838,-86.829022,-0.196105064547401,-0.5319290702649846,101398.063007548+0i,571,MeanMedium,MedianLow,0,1,0,1,0,0
10,AL,Odenville,35120,205,33.691576,-86.503766,-0.38965030426578096,-0.37929408316856156,73434.7553097582+0i,1513,MeanMedium,MedianMedium,0,1,0,0,1,0
11,AL,Arley,35541,205,34.076234,-87.217831,-1.0374612979472,-0.8304600282468286,23405.958309527+0i,179,MeanLow,MedianLow,1,0,0,1,0,0
12,AL,Ashland,36251,256,33.269892,-85.833706,-0.7227596703558558,-0.6659882451487932,48055.7877349791+0i,1037,MeanLow,MedianLow,1,0,0,1,0,0
13,AL,Athens,35611,256,34.779021,-86.950799,0.9031031102821062,-0.061963508007685957,152581.769456703+0i,9326,MeanMedium,MedianMedium,0,1,0,0,1,0
14,AL,Attalla,35954,256,33.986189,-86.121037,-0.2840147143096525,-0.5014667276137761,92890.4632801784+0i,2313,MeanMedium,MedianMedium,0,1,0,0,1,0
15,AL,Autaugaville,36003,334,32.432563,-86.658752,-0.9493669583243001,-0.7174758210339583,15092.0863331447+0i,462,MeanLow,MedianLow,1,0,0,1,0,0
16,AL,Satsuma,36572,251,30.922563,-88.02185,-0.18463877157252342,-0.26873442975854256,84787.2468594984+0i,278,MeanMedium,MedianMedium,0,1,0,0,1,0
17,AL,Baileyton,35019,256,34.260858,-86.608788,0.44495121903158796,-0.5471229407628527,141888.400209742+0i,329,MeanMedium,MedianLow,0,1,0,1,0,0
18,AL,Hokes Bluff,35903,256,34.023046,-85.80148100000001,-0.7481799829724406,-0.5635477385760146,19697.1774267899+0i,506,MeanLow,MedianLow,1,0,0,1,0,0
19,AL,Bay Minette,36507,251,30.894436,-87.791306,0.007284867731640245,-0.4396095216179546,112772.623533399+0i,3011,MeanMedium,MedianMedium,0,1,0,0,1,0
20,AL,Linden,36748,334,34.255481,-87.713399,-0.7857922473813893,-0.6077367858341352,0+24820.6879976986i,547,MeanLow,MedianLow,1,0,0,1,0,0
21,AL,Guin,35563,205,33.935411,-88.021778,-0.5646883173077902,-0.22277980998757646,0+61699.0861449408i,115,MeanMedium,MedianMedium,0,1,0,0,1,0
22,AL,Fayette,35555,205,33.651647,-87.928609,-0.7568872498633105,-0.6642724070729291,61814.8632256882+0i,101,MeanLow,MedianLow,1,0,0,1,0,0
23,AL,Mobile,36605,251,30.489492,-88.10594,-0.8435449720761489,-0.4805906976907641,0+39566.3126607443i,180,MeanLow,MedianMedium,1,0,0,0,1,0
24,AL,Berry,35546,205,33.666702,-87.609311,-0.6781950402322565,-0.6741073919860336,74776.4315801625+0i,603,MeanMedium,MedianLow,0,1,0,1,0,0
25,AL,Billingsley,36006,205,32.66522,-86.706673,0.44835285352291837,-0.6215753929242556,142306.254441491+0i,63,MeanMedium,MedianLow,0,1,0,1,0,0
26,AL,Birmingham,35203,205,33.527444,-86.799047,-0.2490563653191868,-0.5603771682184399,93195.0094440163+0i,960,MeanMedium,MedianLow,0,1,0,1,0,0
27,AL,Blountsville,35031,205,34.075728000000005,-86.58372800000001,0.2671618981103923,-0.45226693582976285,134268.913013006+0i,636,MeanMedium,MedianMedium,0,1,0,0,1,0
28,AL,Skipperville,36374,334,31.663515999999998,-85.50352600000001,-0.4324414452406404,2.2807398451811984,71762.3932510029+0i,39,MeanMedium,MedianHigh,0,1,0,0,0,1
29,AL,Boaz,35957,256,34.199020000000004,-86.155151,0.46143332890743494,-0.32504624603091953,132871.405268833+0i,2946,MeanMedium,MedianMedium,0,1,0,0,1,0
30,AL,Childersburg,35044,256,33.259370000000004,-86.327148,-1.3080547907769395,-1.0656168799049135,34632.842668399+0i,33,MeanLow,MedianLow,1,0,0,1,0,0
31,AL,Camden,36726,334,32.068375,-87.29434300000001,-1.8004965915192312,-1.3451741501782906,15730.312106556+0i,32,MeanLow,MedianLow,1,0,0,1,0,0
